"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"AC073167.1","OK",0.543193089092973,-0.108481415471069,-0.000212298833142743,"AC073167.1",0.605471518153607
"DAPK2","OK",4.4222183615315e-146,25.7108313421637,0.0491821850777766,"DAPK2",1.91457293062114e-145
"AC015914.1","FAIL",NA,NA,NA,"AC015914.1",1
"FAM96A","OK",4.70584390794305e-153,26.3270105610995,0.0505486906067782,"FAM96A",2.06575237798002e-152
"SNX1","OK",6.46135211964979e-42,13.5140419501087,0.0259377283127768,"SNX1",1.90196007856934e-41
"SNX22","OK",3.18178275921763e-321,38.2990077920871,0.072765106157967,"SNX22",1.82162003621668e-320
"PPIB","OK",0,141.885314556134,0.272866736676447,"PPIB",0
"CSNK1G1","OK",1.25345951580027e-94,20.6043833808957,0.0395375469991707,"CSNK1G1",4.68000304477288e-94
"AC087632.1","OK",0.529562976621977,-0.0741713445610991,-0.000128708695543437,"AC087632.1",0.605471518153607
"PCLAF","OK",0,225.691511805057,0.433879553139726,"PCLAF",0
"TRIP4","OK",2.04084992596079e-17,8.41052774838082,0.0161167037194948,"TRIP4",4.73767390253893e-17
"ZNF609","OK",7.37713459854593e-25,10.2286626736121,0.0196117551059925,"ZNF609",1.87636785762814e-24
"OAZ2","OK",3.37688648672099e-258,34.3043711668097,0.0659236295329352,"OAZ2",1.77476648841304e-257
"AC100830.3","OK",0.503112119951539,-0.00780100698648451,-5.79878667350472e-05,"AC100830.3",0.605471518153607
"AC100830.2","OK",0.596055004881758,-0.243148978325568,-0.000471067532633047,"AC100830.2",0.620551090539407
"AC100830.1","OK",6.57663122510552e-07,4.83742404151857,0.00916486060301933,"AC100830.1",1.2335037328671e-06
"RBPMS2","OK",1.23828339596375e-105,21.7970137119447,0.0417226157007361,"RBPMS2",4.80113386842983e-105
"PIF1","OK",0,66.4128680775356,0.127288978292709,"PIF1",0
"AC069368.1","OK",0.541321403754251,-0.103763298829907,-0.000191409515207478,"AC069368.1",0.605471518153607
"PLEKHO2","OK",0,56.7571549084696,0.10896315927469,"PLEKHO2",0
