"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"CCPG1","OK",0,76.0719677981648,0.146244356199626,"CCPG1",0
"C15orf65","OK",0.00208585630816152,2.86487698901318,0.00543186419320353,"C15orf65",0.0034021026338501
"DNAAF4","OK",8.64360627778464e-67,17.2248510656985,0.0330017933732234,"DNAAF4",2.91465872692762e-66
"PYGO1","OK",5.61734039830593e-69,17.5138430379306,0.0335397709968243,"PYGO1",1.91054759249358e-68
"PRTG","OK",0,44.5037054890779,0.0853612014362068,"PRTG",0
"NEDD4","OK",8.32950455915584e-145,25.5965668491083,0.0490998340807197,"NEDD4",3.59632565806924e-144
"RFX7","OK",2.22714786016707e-09,5.86637358759049,0.0112069568537389,"RFX7",4.4638588552299e-09
"TEX9","OK",0.00419691897620054,2.63580327524925,0.00499708525152807,"TEX9",0.00673548578340193
"MNS1","OK",1.31166468135587e-30,11.440511953526,0.0218660522860905,"MNS1",3.53375587411886e-30
"ZNF280D","OK",1.73694351013229e-41,13.4410675132679,0.0257900755265959,"ZNF280D",5.09382177037748e-41
"AC010999.2","OK",0.00134475037932525,3.00116354226982,0.00508462037238188,"AC010999.2",0.00221324048718722
"TCF12","OK",9.92892242999339e-234,32.6222191207126,0.0625111853367277,"TCF12",5.05592765192754e-233
"LINC00926","OK",4.06698462173352e-188,29.2297042271582,0.0558120806475035,"LINC00926",1.91325894690958e-187
"CGNL1","OK",5.94054054444744e-187,29.1379291855461,0.0559114688885935,"CGNL1",2.78840344438254e-186
